0,1,2,3,4,5,6,7
Java开发工程师(东华医为-西安),          东华软件股份公司        ,1万-2万,Java|HIS|后端|上市公司|1000-9999人|计算机软件,西安·雁塔·鱼化寨,3-5年,本科,http://www.zhaopin.com/jobdetail/CC193399810J40540530707.htm
Java开发工程师（银行软件）,          南京鑫元数信息科技有限公司        ,6千-1.1万·13薪,Java|Spring|JSP|MyBatis|jQuery|MySQL数据库|民营|20人以下|计算机软件,南京·玄武·玄武门,1-3年,本科,http://www.zhaopin.com/jobdetail/CC201510282J90250035000.htm
java开发工程师,          东华医为科技有限公司        ,7千-1.2万,Mybatis|Spring|民营|1000-9999人|IT服务,北京·海淀·中关村,1-3年,本科,http://www.zhaopin.com/jobdetail/CC649781480J40672520705.htm
Java开发工程师,          东华软件股份公司        ,面议,JavaScript|Spring|MySQL|上市公司|1000-9999人|计算机软件,哈尔滨·松北·松安,1年以下,本科,http://www.zhaopin.com/jobdetail/CC193399810J40619634307.htm
JAVA开发工程师课程西安/培训招生,          51Testing        ,8千-1.2万,JavaScript|Python|民营|100-299人|计算机软件,西安·雁塔·小寨路,经验不限,大专,http://www.zhaopin.com/jobdetail/CC145362720J40631513902.htm
Java开发工程师,          郑州乐驰软件科技有限公司        ,1万-1.5万,Spring|MySQL|Oracle|SPRING BOOT|SPRING CLOUD|民营|20-99人|计算机软件,北京·丰台·看丹,3-5年,大专,http://www.zhaopin.com/jobdetail/CC445384710J40682227508.htm
Java开发工程师(东华医为CLMS事业部-武汉),          东华软件股份公司        ,1万-1.8万,Java|HIS|七险一金|上市公司|1000-9999人|计算机软件,武汉·武昌·水果湖街,3-5年,本科,http://www.zhaopin.com/jobdetail/CC193399810J40540747407.htm
JAVA开发工程师课程南京/培训招生,          51Testing        ,8千-1万·13薪,全栈开发|后端开发|民营|100-299人|计算机软件,南京·秦淮·洪武路,经验不限,大专,http://www.zhaopin.com/jobdetail/CC145362720J40422900202.htm
java开发工程师助理,          唐雅网络科技        ,8千-1.6万,上市公司|20-99人|计算机软件,上海·虹口·广中路,无经验,本科,http://www.zhaopin.com/jobdetail/CCL1298078450J40684863514.htm
Java开发工程师（短期金融项目）,          东华软件股份公司        ,7千-1万,SpringBoot|SpringCloud|Redis|MySQL|Oracle|RabbitMQ|linux|上市公司|1000-9999人|计算机软件,济南·历城·唐冶,1-3年,本科,http://www.zhaopin.com/jobdetail/CC193399810J40676692707.htm
JAVA开发工程师课程/培训招生/青岛,          51Testing        ,5千-1万,网络编程|Hadoop|全栈开发|SpringBoot|民营|100-299人|计算机软件,青岛·市北·阜新路,经验不限,大专,http://www.zhaopin.com/jobdetail/CC145362720J40319683102.htm
