company_name,addr,link,start
丰益高分子材料（连云港）有限公司,连云港,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/19356.html,10月25日
中国科学院新疆理化技术研究所,乌鲁木齐,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/20126.html,06月05日
广东天安新材料股份有限公司,佛山,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/20129.html,06月05日
武汉生物工程学院,武汉,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/5542.html,03月01日
深圳市同为数码科技股份有限公司,深圳,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/17574.html,10月11日
深圳市创世纪机械有限公司,深圳,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/4007.html,09月13日
武汉帝尔激光科技股份有限公司,武汉,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/17324.html,09月07日
湖南九鼎科技（集团）有限公司,长沙,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/16046.html,04月01日
仲利国际融资租赁有限公司,上海,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/20398.html,09月24日
安徽迎驾贡酒股份有限公司,六安,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/19377.html,08月31日
法雷奥汽车内部控制（深圳）有限公司武汉分公司,武汉,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/19125.html,09月12日
浙江我武生物科技股份有限公司上海分公司,上海,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/3767.html,07月22日
开沃新能源汽车集团股份有限公司,南京,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/15042.html,09月20日
江苏巨力钢绳有限公司,南通,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/19907.html,05月16日
阳光人寿保险股份有限公司湖北分公司,武汉,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/20419.html,10月08日
上海锅炉厂有限公司,上海,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/19654.html,02月28日
联基精密电子股份有限公司,东莞,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/20166.html,06月25日
摩芮思科技咨询（上海）有限公司,上海,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/15303.html,03月02日
中建六局华南建设有限公司,深圳,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/7369.html,09月10日
云南省德宏傣族景颇族自治州民族第一中学,德宏,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/20425.html,10月09日
上海海隆软件股份有限公司,上海,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/2252.html,09月03日
同创生活科技（深圳）有限公司,深圳,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/20172.html,06月21日
乐歌人体工学科技股份有限公司,宁波,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/15822.html,03月17日
神州数码（中国）有限公司西安分公司,西安,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/19918.html,05月16日
卡斯柯信号有限公司,上海,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/19665.html,02月28日
西安外事学院,西安,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/19923.html,05月17日
云南昆船机械制造有限公司,昆明,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/15572.html,05月31日
萍乡萍钢安源钢铁有限公司,萍乡,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/18902.html,02月20日
舞阳钢铁有限责任公司,平顶山,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/19161.html,09月12日
厦门极兔供应链管理有限公司,厦门,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/20442.html,10月30日
安徽英科医疗用品有限公司,淮北,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/16351.html,05月25日
康惠（惠州）半导体有限公司,惠州,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/3301.html,04月01日
快乐学习（厦门）文化有限公司,厦门,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/19942.html,05月18日
西子电梯科技有限公司,杭州,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/19433.html,11月20日
南京圣和药业股份有限公司,南京,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/2538.html,02月27日
贵州航天林泉电机有限公司,贵阳,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/18929.html,07月24日
深圳市创客工场科技有限公司,深圳,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/20218.html,07月24日
深圳市环水投资集团有限公司,深圳,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/18427.html,02月07日
思派（北京）保险经纪有限公司,北京,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/20222.html,07月29日
厦门路桥建设集团有限公司,厦门,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/20479.html,11月07日
武汉中粮肉食品有限公司,武汉,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/19456.html,12月11日
大连科苑文化培训学校有限公司,大连,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/5386.html,01月21日
泉州市华德机电设备有限公司,泉州,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/19727.html,03月11日
武汉光谷未来学校,武汉,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/19474.html,12月22日
深圳市索菱股份实业有限公司,武汉,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/19225.html,09月19日
武汉开目信息技术股份有限公司,武汉,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/18978.html,08月28日
中国科学院广州能源研究所,广州,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/20274.html,08月19日
珠海派诺科技股份有限公司,珠海,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/5432.html,01月25日
深圳市勘察测绘院（集团）有限公司,深圳,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/6200.html,06月22日
太原市扬帆职业高级中学有限公司,太原,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/19260.html,10月08日
衡阳镭目科技有限责任公司,衡阳,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/4158.html,09月24日
国家工业信息安全发展研究中心,北京,https://bolexiaozhao.com/index.php/Home/Company/companyJob/id/18751.html,06月06日
